Club,Boat Type,Sub Category,Rank,Event
LEANDER CLUB 'A',4x,W.4x- Band 1,63,Fours Head 2018
LONDON UNIV,4x,W.4x- Band 1,95,Fours Head 2018
LEANDER CLUB 'A',4-,W.4- Band 1,97,Fours Head 2018
NEWCASTLE UNIV,4x,W.4x- Band 1,104,Fours Head 2018
MOLESEY BC 'A',4-,W.4- Band 1,118,Fours Head 2018
TIDEWAY SC SCH 'A',4x,W.4x- Band 1,121,Fours Head 2018
LEANDER CLUB,4x,W.U23.4x-,123,Fours Head 2018
READING UNIV 'A',4x,W.U23.4x-,131,Fours Head 2018
HENLEY RC 'A',4x,W.J18.4x-,135,Fours Head 2018
MOLESEY BC 'A',4x,W.4x- Band 1,136,Fours Head 2018
LEICESTER RC/ NOTTINGHAM RC,4x,W.4x- Band 1,137,Fours Head 2018
CAMBRIDGE UWBC 'A',4-,W.4- Band 1,156,Fours Head 2018
EXETER UNIV,4x,W.4x- Band 1,171,Fours Head 2018
CAMBRIDGE UWBC 'A',4+,W.4+ Band 1,184,Fours Head 2018
MOLESEY BC 'B',4-,W.4- Band 1,185,Fours Head 2018
LEANDER CLUB,4+,W.4+ Band 1,194,Fours Head 2018
IMPERIAL COLL,4-,W.4- Band 2,204,Fours Head 2018
TIDEWAY SC SCH,4-,W.4- Band 1,205,Fours Head 2018
LONDON UNIV,4x,W.U23.4x-,206,Fours Head 2018
TIDEWAY SC SCH,4x,W.U23.4x-,209,Fours Head 2018
CAMBRIDGE UWBC 'B',4-,W.4- Band 1,213,Fours Head 2018
IMPERIAL COLL/ THAMES RC 'C',4+,W.4+ Band 1,214,Fours Head 2018
READING UNIV,4x,W.4x- Band 1,215,Fours Head 2018
THAMES RC 'B',4-,W.4- Band 2,216,Fours Head 2018
LATYMER UPPER,4x,W.U23.4x-,221,Fours Head 2018
MARLOW RC,4x,W.J18.4x-,227,Fours Head 2018
VESTA RC,4-,W.4- Band 1,231,Fours Head 2018
OXFORD UWBC 'A',4+,W.4+ Band 1,232,Fours Head 2018
IMPERIAL COLL 'A',4x,W.4x- Band 2,237,Fours Head 2018
CAMBRIDGE UWBC 'B',4+,W.4+ Band 1,238,Fours Head 2018
MORTLAKE AA 'A',4x,W.4x- Band 1,239,Fours Head 2018
CAMBRIDGE UWBC 'C',4+,W.4+ Band 1,241,Fours Head 2018
MORTLAKE AA 'B',4x,W.4x- Band 1,242,Fours Head 2018
LONDON UNIV 'A',4+,W.4+ Band 1,243,Fours Head 2018
